"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","62","PutNewInformation","API-Testing","Tue Oct 22 12:54:26 UTC 2024","passed","Tue Oct 22 12:54:26 UTC 2024","PUT","Albums","",""
"","49","GetFirstPost","API-Testing","Tue Oct 22 12:54:24 UTC 2024","passed","Tue Oct 22 12:54:24 UTC 2024","GET","Posts","",""
"","33","GetAllAlbums","API-Testing","Tue Oct 22 12:54:26 UTC 2024","passed","Tue Oct 22 12:54:26 UTC 2024","GET","Albums","",""
"","30","GetAlbumById","API-Testing","Tue Oct 22 12:54:26 UTC 2024","passed","Tue Oct 22 12:54:26 UTC 2024","GET","Albums","",""
"","27","GetUserByCompanyName","API-Testing","Tue Oct 22 12:54:28 UTC 2024","passed","Tue Oct 22 12:54:28 UTC 2024","GET","Users","",""
"","29","GetUserByWebsite","API-Testing","Tue Oct 22 12:54:28 UTC 2024","passed","Tue Oct 22 12:54:28 UTC 2024","GET","Users","",""
"","28","GetCommentByName","API-Testing","Tue Oct 22 12:54:26 UTC 2024","passed","Tue Oct 22 12:54:26 UTC 2024","GET","Comments","",""
"","44","GetTodoByCompleteStatus","API-Testing","Tue Oct 22 12:54:27 UTC 2024","passed","Tue Oct 22 12:54:27 UTC 2024","GET","Todos","",""
"","136","GetAllPhotos","API-Testing","Tue Oct 22 12:54:27 UTC 2024","passed","Tue Oct 22 12:54:27 UTC 2024","GET","Photos","",""
"","35","GetPhotoByAlbumId","API-Testing","Tue Oct 22 12:54:27 UTC 2024","passed","Tue Oct 22 12:54:27 UTC 2024","GET","Photos","",""
"","30","GetFirstAlbums","API-Testing","Tue Oct 22 12:54:26 UTC 2024","passed","Tue Oct 22 12:54:26 UTC 2024","GET","Albums","",""
"","31","GetAllTodos","API-Testing","Tue Oct 22 12:54:27 UTC 2024","passed","Tue Oct 22 12:54:27 UTC 2024","GET","Todos","",""
"","28","GetUserByName","API-Testing","Tue Oct 22 12:54:28 UTC 2024","passed","Tue Oct 22 12:54:28 UTC 2024","GET","Users","",""
"","29","GetPhotoByUrl","API-Testing","Tue Oct 22 12:54:27 UTC 2024","passed","Tue Oct 22 12:54:27 UTC 2024","GET","Photos","",""
"","39","GetCommentsByPostId","API-Testing","Tue Oct 22 12:54:25 UTC 2024","passed","Tue Oct 22 12:54:26 UTC 2024","GET","Comments","",""
"","54","PatchUserAddress","API-Testing","Tue Oct 22 12:54:28 UTC 2024","passed","Tue Oct 22 12:54:28 UTC 2024","PATCH","Users","",""
"","34","GetPostByTitle","API-Testing","Tue Oct 22 12:54:24 UTC 2024","passed","Tue Oct 22 12:54:24 UTC 2024","GET","Posts","",""
"","54","DeleteFirstTodo","API-Testing","Tue Oct 22 12:54:27 UTC 2024","passed","Tue Oct 22 12:54:27 UTC 2024","DELETE","Todos","",""
"","28","GetUserByEmail","API-Testing","Tue Oct 22 12:54:28 UTC 2024","passed","Tue Oct 22 12:54:28 UTC 2024","GET","Users","",""
"","122","PutNewInformation","API-Testing","Tue Oct 22 12:54:28 UTC 2024","passed","Tue Oct 22 12:54:28 UTC 2024","PUT","Users","",""
"","57","PatchTodosTitle","API-Testing","Tue Oct 22 12:54:27 UTC 2024","passed","Tue Oct 22 12:54:27 UTC 2024","PATCH","Todos","",""
"","25","GetFirstUser","API-Testing","Tue Oct 22 12:54:28 UTC 2024","passed","Tue Oct 22 12:54:28 UTC 2024","GET","Users","",""
"","50","GetAllComments","API-Testing","Tue Oct 22 12:54:25 UTC 2024","passed","Tue Oct 22 12:54:25 UTC 2024","GET","Comments","",""
"","29","GetAllUsers","API-Testing","Tue Oct 22 12:54:28 UTC 2024","passed","Tue Oct 22 12:54:28 UTC 2024","GET","Users","",""
